Hs,T,Pth,speed
0,0,0,0
0.1,3,0,0.07094946435
0.1,3,10,0.3197941781
0.1,3,20,0.3887800257
0.1,3,30,0.442036702
0.1,3,40,0.4862773342
0.1,3,50,0.5237042133
0.1,4,0,0.03893366153
0.1,4,10,0.2763908654
0.1,4,20,0.3469001186
0.1,4,30,0.4011049294
0.1,4,40,0.4469750014
0.1,4,50,0.487402782
0.1,5,0,0.02448214119
0.1,5,10,0.2530796914
0.1,5,20,0.3254395866
0.1,5,30,0.3806389407
0.1,5,40,0.4271840964
0.1,5,50,0.468209203
0.1,6,0,0.01631708608
0.1,6,10,0.2381261116
0.1,6,20,0.3121761526
0.1,6,30,0.3689879094
0.1,6,40,0.4173194845
0.1,6,50,0.4602759466
0.1,7,0,0.01320498016
0.1,7,10,0.2344685681
0.1,7,20,0.308450146
0.1,7,30,0.3640939173
0.1,7,40,0.4105431117
0.1,7,50,0.4510469614
0.1,8,0,0.009510842504
0.1,8,10,0.2192483291
0.1,8,20,0.2930382348
0.1,8,30,0.3489388284
0.1,8,40,0.3959685664
0.1,8,50,0.4373682713
0.2,4,0,0.1674063374
0.2,4,10,0.4038412619
0.2,4,20,0.4607197356
0.2,4,30,0.5075421715
0.2,4,40,0.5489799248
0.2,4,50,0.5868120179
0.2,5,0,0.103837262
0.2,5,10,0.349016035
0.2,5,20,0.4115658485
0.2,5,30,0.4616168356
0.2,5,40,0.5050986361
0.2,5,50,0.5446022011
0.2,6,0,0.06886973315
0.2,6,10,0.3136556523
0.2,6,20,0.3808843714
0.2,6,30,0.4346579955
0.2,6,40,0.4814647047
0.2,6,50,0.5237229569
0.2,7,0,0.05416048078
0.2,7,10,0.3036255753
0.2,7,20,0.3711853078
0.2,7,30,0.4229170092
0.2,7,40,0.4663026002
0.2,7,50,0.5040361421
0.2,8,0,0.03865855505
0.2,8,10,0.2685868055
0.2,8,20,0.3383493033
0.2,8,30,0.3923603742
0.2,8,40,0.4383534954
0.2,8,50,0.4791514266
0.2,9,0,0.03107784642
0.2,9,10,0.2667568934
0.2,9,20,0.3401171705
0.2,9,30,0.396967833
0.2,9,40,0.4456849528
0.2,9,50,0.4893205588
0.3,5,0,0.2455831281
0.3,5,10,0.4513918181
0.3,5,20,0.5066533833
0.3,5,30,0.552046581
0.3,5,40,0.5952711151
0.3,5,50,0.6377952034
0.3,6,0,0.1649537812
0.3,6,10,0.400972647
0.3,6,20,0.459725326
0.3,6,30,0.5099847945
0.3,6,40,0.5555962114
0.3,6,50,0.5987312937
0.3,7,0,0.1276149193
0.3,7,10,0.3814864195
0.3,7,20,0.4390020935
0.3,7,30,0.4839670685
0.3,7,40,0.521621894
0.3,7,50,0.5533020748
0.3,8,0,0.08887783466
0.3,8,10,0.3253065215
0.3,8,20,0.3892827573
0.3,8,30,0.4405521009
0.3,8,40,0.4849791616
0.3,8,50,0.5248704479
0.3,9,0,0.07192662356
0.3,9,10,0.3236154699
0.3,9,20,0.393116466
0.3,9,30,0.4485045313
0.3,9,40,0.4968338666
0.3,9,50,0.5407431792
0.3,10,0,0.05699227103
0.3,10,10,0.301883393
0.3,10,20,0.3728568933
0.3,10,30,0.4292628394
0.3,10,40,0.4783794937
0.3,10,50,0.5228437195
0.4,6,0,0.3028535616
0.4,6,10,0.4843748062
0.4,6,20,0.5407533823
0.4,6,30,0.5910450196
0.4,6,40,0.637376594
0.4,7,0,0.2406930678
0.4,7,10,0.4598838093
0.4,7,20,0.5028275907
0.4,7,30,0.53488882
0.4,7,40,0.5563254924
0.4,7,50,0.5523223617
0.4,8,0,0.1622597748
0.4,8,10,0.3860717809
0.4,8,20,0.4438020509
0.4,8,30,0.4920431519
0.4,8,40,0.5347428694
0.4,8,50,0.5747669094
0.4,9,0,0.1323772566
0.4,9,10,0.3882795609
0.4,9,20,0.453176142
0.4,9,30,0.5069695546
0.4,9,40,0.5551417155
0.4,9,50,0.6000459081
0.5,5,0,0.520449068
0.5,6,0,0.4445357976
0.5,6,10,0.5452064466
0.5,7,0,0.3857673927
0.5,7,10,0.49574913
0.5,7,20,0.4700871181
0.5,8,0,0.2614222322
0.5,8,10,0.4447061154
0.5,8,20,0.4961779521
0.5,8,30,0.5364377922
0.5,8,40,0.5469502002
0.5,9,0,0.2150171027
0.5,9,10,0.4594643031
0.5,9,20,0.5201844307
0.5,9,30,0.5728088649
0.5,9,40,0.622008245
0.5,9,50,0.6598643211
0.6,6,0,0.538688782
0.6,7,0,0.5002305727
0.6,8,0,0.381252947
0.6,8,10,0.4180127374
0.6,9,0,0.3223257138
0.6,9,10,0.5319724899
0.6,9,20,0.5782149694
0.6,10,0,0.2461825924
0.6,10,10,0.4780336343
0.6,10,20,0.539640767
0.6,10,30,0.5977894029
0.6,10,40,0.698854947
